Provincia,Periodo,Adultos,Jóvenes,Mayores,Todas las edades,Población Total,% Jóvenes,% Adultos,% Mayores
Cuenca,2026,131235.0,21838.0,48783.0,203230.0,201856.0,10.818603360811668,65.01416851616995,24.16722812301839
Cáceres,2024,247690.0,41723.0,95983.0,387655.0,385396.0,10.826007535106747,64.2689597193536,24.90503274553965
Cáceres,2025,246078.0,40939.0,98185.0,387517.0,385202.0,10.627930280735821,63.88284588345855,25.489223835805632
Cáceres,2026,244227.0,40209.0,100587.0,387403.0,385023.0,10.443272220101136,63.431794983676305,26.12493279622256
Cádiz,2024,850302.0,164755.0,234672.0,1258381.0,1249729.0,13.183258130362663,68.03891083586922,18.777831033768123
Cádiz,2025,852676.0,160586.0,242627.0,1264600.0,1255889.0,12.786639583593773,67.89421676597215,19.319143650434075
Cádiz,2026,854723.0,156643.0,250444.0,1270506.0,1261810.0,12.414151100403389,67.73785276705685,19.847996132539762
Córdoba,2024,508076.0,96857.0,162672.0,773131.0,767605.0,12.618078308505027,66.18977208329805,21.192149608196925
Córdoba,2025,506207.0,94577.0,166465.0,772933.0,767249.0,12.32676745098397,65.97688625205116,21.696346296964872
Córdoba,2026,503753.0,92795.0,170542.0,772706.0,767090.0,12.09701599551552,65.67065142290996,22.23233258157452
Gipuzkoa,2024,463453.0,89252.0,172734.0,730006.0,725439.0,12.303170907547017,63.88586772974709,23.810961362705893
Gipuzkoa,2025,465824.0,87084.0,175894.0,733646.0,728802.0,11.948924399219543,63.91639979034086,24.1346758104396
Gipuzkoa,2026,468389.0,85089.0,178994.0,737255.0,732472.0,11.616689784728973,63.94633515001256,24.43697506525847
Girona,2024,546377.0,113507.0,155023.0,821097.0,814907.0,13.928828688427023,67.04777354961978,19.023397761953202
Girona,2025,560726.0,113266.0,160375.0,840331.0,834367.0,13.575081468945918,67.20376045553095,19.22115807552312
Girona,2026,574836.0,112248.0,166020.0,859412.0,853104.0,13.157598604624992,67.38170258256908,19.46069881280594
Granada,2024,628912.0,120979.0,182772.0,939725.0,932663.0,12.971351924542947,67.43185909594355,19.5967889795135
Granada,2025,633720.0,119519.0,188533.0,948838.0,941772.0,12.69086360605327,67.29017214357616,20.018964250370576
Granada,2026,637730.0,118254.0,194667.0,957745.0,950651.0,12.439265303460472,67.08350383053298,20.477230866006558
Guadalajara,2024,192103.0,39263.0,46959.0,280258.0,278325.0,14.106889427827179,69.02110841641965,16.872002155753165
Guadalajara,2025,196611.0,38860.0,48769.0,286198.0,284240.0,13.671545173093161,69.17077117928511,17.157683647621727
Guadalajara,2026,201003.0,38324.0,50666.0,292100.0,289993.0,13.215491408413307,69.31305238402307,17.471456207563634
Huelva,2024,364469.0,70213.0,96883.0,535469.0,531565.0,13.208732704372936,68.56527423739335,18.225993058233705
Huelva,2025,370132.0,68765.0,99593.0,542278.0,538490.0,12.769967873126706,68.73516685546622,18.494865271407082
Huelva,2026,375351.0,67308.0,102407.0,548893.0,545066.0,12.348596316776316,68.86340369790081,18.787999985322877
Huesca,2024,146692.0,27721.0,52676.0,228642.0,227089.0,12.207108226290133,64.59669997225758,23.196191801452294
Huesca,2025,148557.0,27525.0,53781.0,231356.0,229863.0,11.974523955573538,64.62849610420119,23.396979940225265
Huesca,2026,150390.0,27294.0,54934.0,234070.0,232618.0,11.73339982288559,64.65105881746038,23.615541359654024
Jaén,2024,409976.0,75048.0,129841.0,619100.0,614865.0,12.205606108658,66.6774007302416,21.116993161100403
Jaén,2025,406876.0,73213.0,132637.0,616976.0,612726.0,11.948734018141877,66.40423288713062,21.647033094727497
Jaén,2026,402900.0,71539.0,136137.0,614862.0,610576.0,11.716641335394774,65.98687141322293,22.296487251382302
León,2024,273467.0,42116.0,129574.0,447353.0,445157.0,9.46093176115393,61.43158481165072,29.107483427195348
León,2025,271690.0,41281.0,131608.0,446851.0,444579.0,9.28541384095965,61.1117484181664,29.602837740873948
León,2026,269940.0,40395.0,133783.0,446399.0,444118.0,9.09555568565111,60.78114375008443,30.123300564264454
Lleida,2024,298296.0,59421.0,90039.0,451037.0,447756.0,13.270843941789726,66.62021279446842,20.10894326374186
Lleida,2025,305145.0,59058.0,92218.0,459653.0,456421.0,12.939369573266788,66.85603861347309,20.204591813260127
Lleida,2026,311810.0,58516.0,94587.0,468277.0,464913.0,12.586440903997092,67.06846227143573,20.34509682456718
Lugo,2024,194895.0,30353.0,97835.0,324844.0,323083.0,9.39479947877171,60.323508200679086,30.281692320549208
Lugo,2025,194507.0,30189.0,98481.0,324963.0,323177.0,9.34132070042113,60.18590431868604,30.472774980892826
Lugo,2026,194066.0,29913.0,99357.0,325140.0,323336.0,9.25136699903506,60.019917361506295,30.728715639458642
Madrid,2024,4742293.0,904412.0,1304985.0,7002363.0,6951690.0,13.009958729460031,68.21784343087796,18.77219783966201
Madrid,2025,4847856.0,891619.0,1339266.0,7131676.0,7078741.0,12.59572853421251,68.4847206586595,18.91955080712799
Madrid,2026,4948527.0,882568.0,1375443.0,7258984.0,7206538.0,12.246768143039,68.66718804507795,19.086043811883044
Melilla,2024,57892.0,16516.0,10522.0,85812.0,84930.0,19.44660308489344,68.1643706581891,12.389026256917461
Melilla,2025,58334.0,15914.0,10984.0,86066.0,85232.0,18.67139102684438,68.44143044865778,12.887178524497841
Melilla,2026,58820.0,15235.0,11503.0,86359.0,85558.0,17.80663409616868,68.74868510250356,13.444680801327754
Murcia,2024,1062150.0,232958.0,261234.0,1569706.0,1556342.0,14.968303881794617,68.24656791373619,16.785128204469196
Murcia,2025,1083718.0,231204.0,270204.0,1598394.0,1585126.0,14.585843649022223,68.36794046656229,17.046215884415496
Murcia,2026,1104397.0,229453.0,279444.0,1626756.0,1613294.0,14.222640138747183,68.45602847342145,17.321331387831357
Málaga,2024,1194199.0,235796.0,329077.0,1771221.0,1759072.0,13.404567863055064,67.88801140601409,18.707420730930853
Málaga,2025,1224995.0,234717.0,343721.0,1815963.0,1803433.0,13.01501081548358,67.92572831926664,19.059260865249776
Málaga,2026,1254133.0,233696.0,358926.0,1859472.0,1846755.0,12.654412740184812,67.91009094330326,19.435496316511937
Navarra,2024,440991.0,91623.0,140657.0,678093.0,673271.0,13.608636047000392,65.49977646445487,20.891587488544733
Navarra,2025,447473.0,90676.0,143909.0,686720.0,682058.0,13.29447055822232,65.60629741165708,21.099232030120604
Navarra,2026,453820.0,89401.0,147295.0,695323.0,690516.0,12.946984573854914,65.72186596690011,21.33114945924497
Ourense,2024,178124.0,27174.0,97835.0,304485.0,303133.0,8.964381970950045,58.761005895102144,32.274612133947805
Ourense,2025,178532.0,26771.0,98606.0,305357.0,303909.0,8.808886870740913,58.745216495727334,32.445896633531746
Ourense,2026,178848.0,26410.0,99540.0,306252.0,304798.0,8.664755018077546,58.67755037762715,32.65769460429531
Palencia,2024,97230.0,16119.0,43886.0,158120.0,157235.0,10.251534327598817,61.83737717429325,27.91108849810793
Palencia,2025,96303.0,15839.0,44651.0,157659.0,156793.0,10.101854036851135,61.42047157717501,28.477674385973863
Palencia,2026,95279.0,15596.0,45533.0,157230.0,156408.0,9.971356963838167,60.91696076927011,29.11168226689172
Las Palmas,2024,828415.0,126885.0,197291.0,1159129.0,1152591.0,11.008675236922723,71.87415136852535,17.117173394551926
Las Palmas,2025,838999.0,124440.0,205003.0,1175236.0,1168442.0,10.650079336415502,71.80493340704973,17.544987256534768
Las Palmas,2026,848163.0,122318.0,213837.0,1191171.0,1184318.0,10.328138219633578,71.61615376951123,18.05570801085519
Pontevedra,2024,608872.0,103131.0,230897.0,948225.0,942900.0,10.937639198218264,64.57439813341817,24.487962668363558
Pontevedra,2025,610246.0,100496.0,234930.0,950761.0,945672.0,10.626940419088225,64.53040800615858,24.84265157475319
Pontevedra,2026,610824.0,97836.0,239447.0,953184.0,948107.0,10.319088457315472,64.42563972209888,25.25527182058565
La Rioja,2024,209244.0,40944.0,71608.0,324009.0,321796.0,12.723588857537074,65.02380390060783,22.252607241855088
La Rioja,2025,211376.0,40348.0,73361.0,327244.0,325085.0,12.411523140101819,65.02176353876679,22.566713321131395
La Rioja,2026,213632.0,39653.0,75113.0,330488.0,328398.0,12.074677677695966,65.05277133234672,22.872550989957308
Salamanca,2024,201111.0,32791.0,91503.0,327162.0,325405.0,10.07698099291652,61.8032912831702,28.11972772391328
Salamanca,2025,200924.0,32287.0,92882.0,327946.0,326093.0,9.90116316510934,61.615551391780876,28.48328544310979
Salamanca,2026,200396.0,31842.0,94597.0,328671.0,326835.0,9.742530634723943,61.31411874493246,28.9433506203436
Santa Cruz de Tenerife,2024,754833.0,116420.0,202365.0,1079207.0,1073618.0,10.843707911007455,70.30740915297619,18.84888293601635
Santa Cruz de Tenerife,2025,767851.0,114463.0,210030.0,1098048.0,1092344.0,10.478658737540556,70.29388178083094,19.227459481628497
Santa Cruz de Tenerife,2026,779473.0,112749.0,218533.0,1116560.0,1110755.0,10.15066328758367,70.17506110708483,19.67427560533151
Segovia,2024,101076.0,18052.0,36722.0,156790.0,155850.0,11.582932306705166,64.85466794995187,23.562399743342958
