CODIGO EUROPEO,NOMBRE,CATEGORÍA,DIRECCIÓN,ENTIDAD MATRIZ,CODIGO DE SUPERVISOR
ES0234,"CBNK BANCO DE COLECTIVOS, S.A.",Entidad de crédito,"CL ALMAGRO, 8, 28010, MADRID",,234
ES2000,"Cecabank, S.A.",Entidad de crédito,"Cl Alcalá,27, 28014, Madrid",,2000
ES1553,"China Construction Bank (Europe), S.A., Sucursal en España",Entidad de crédito,"Av. Diagonal, 640, 08017, Barcelona",LUB00375,1553
ES1474,"Citibank Europe Plc, Sucursal en España",Entidad de crédito,"ORTEGA Y GASSET 29, 28006, MADRID",IECITIFS,1474
ES1499,"Claas Financial Services, S.A.S., Sucursal en España",Entidad de crédito,"PS DE LOS MELANCÓLICOS, 14, 28005, MADRID",FR14218,1499
ES1546,"CNH Industrial Capital Europe, S.A.S., Sucursal en España",Entidad de crédito,"PS DE LOS MELANCÓLICOS, 14, 28005, MADRID",FR13838,1546
ES1543,"Cofidis, S.A. Sucursal en España",Entidad de crédito,"PZ DE LA PAU, SN, 08940, CORNELLA DE LLOBREGAT",FR14940,1543
ES2056,Colonya - Caixa D'estalvis de Pollensa,Entidad de crédito,"PZ MAYOR, 7, 07460, POLLENÇA",,2056
ES0159,"Commerzbank Aktiengesellschaft, Sucursal en España",Entidad de crédito,"Ps de la Castellana 259, pl 32, 28046, Madrid",DE00003,159
ES1459,"Cooperatieve Rabobank U.A., Sucursal en España",Entidad de crédito,"Cl Rafael Calvo, 39, 28010, Madrid",NL600,1459
ESA88147053,"CREDIT AGRICOLE CONSUMER FINANCE SPAIN, EFC, S.A.",Otra institución,"AV. MANOTERAS, 44, 28050, MADRID",,8841
ES0154,"Crédit Agricole Corporate and Investment Bank, Sucursal en España",Entidad de crédito,"Ps de la Castellana , 1, 28046, Madrid",FR31489,154
ES1472,"Crédit Agricole Leasing & Factoring, Sucursal en España",Entidad de crédito,"Ps de la Castellana, 1, 28046, Madrid",FR16850,1472
ES1555,"Crédit Mutuel Leasing, Sucursal en España",Entidad de crédito,"PS DE LA CASTELLANA, 42, 28046, MADRID",FR13070,1555
ESA79192258,"Credit Suisse Bank (Europe), S.A.",Entidad de crédito,"CL AYALA, 42 - 3º B, 28001, MADRID",,243
ES6716,"Currencies Direct Spain, EDE, SL",Otra institución,"AV DEL MEDITERRANEO 341, 04638, MOJACAR",,6716
ES8842,"DAIMLER TRUCK FINANCIAL SERVICES ESPAÑA E.F.C., S.A.U.",Otra institución,"AVDA DE BRUSELAS, 30, 28108, ALCOBENDAS",,8842
ES1457,"De Lage Landen International B.V., Sucursal en España",Entidad de crédito,"CL  JOSE BARDASANO BAOS, 9, 28016, MADRID",NL7802,1457
ES1548,"Dell Bank International Designated Activity Company, Sucursal en España",Entidad de crédito,"Cl Ribera del Loira, 8, 28042, Madrid",IEC92019,1548
ES0145,"Deutsche Bank, A.G., Sucursal en España",Entidad de crédito,"Ps de la Castellana, 18, 28046, Madrid",DE00001,145
ES0019,"Deutsche Bank, Sociedad Anónima Española",Entidad de crédito,"Ps de la Castellana, 18, 28046, Madrid",,19
ES8826,"Deutsche Leasing Iberica, E.F.C.,  S.A.",Otra institución,"PZ. EUROPA, 9 Y11, 08908, L' HOSPITALET DE LLOBREGAT",,8826
ES1501,"Deutsche Pfandbriefbank AG, Sucursal en España",Entidad de crédito,"Cl Montesquinza, 30, 28010, Madrid",DE03249,1501
ES0211,"EBN Banco de Negocios, S.A.",Entidad de crédito,"Ps de Recoletos, 29, 28004, Madrid",,211
ES1473,"Edmond de Rothschild (Europe), Sucursal en España",Entidad de crédito,"Ps de la Castellana, 55, 28046, Madrid",LUB00172,1473
ES3081,"Eurocaja Rural, Sociedad Cooperativa de Crédito",Entidad de crédito,"Cl Méjico, 2, 45004, Toledo",,3081
ES0239,Evo Banco S.A.,Entidad de crédito,"Cl Serrano, 45, 28001, Madrid",,239
ES0218,FCE Bank Plc Sucursal en España,Entidad de crédito,"CL CALÉNDULA, 13, 28109, ALCOBENDAS",GB1190,218
ES8308,"Financiera Carrión, S.A., E.F.C.",Otra institución,"Ps del Pintor Rosales, 4, 28008, Madrid",,8308
ES8805,"Financiera El Corte Inglés E.F.C., S.A.",Otra institución,"CL HERMOSILLA, 112, 28009, MADRID",,8805
ES8823,"Financiera española de crédito a distancia, E.F.C., S.A.",Otra institución,"Av Fuente de la Mora, 4, 28050, Madrid",,8823
ES6726,FINOM PAYMENTS SUCURSAL EN ESPAÑA,Otra institución,"PS DE LA CASTELLANA, 141, 28046, MADRID",,6726
ES6718,"FINPAY Entidad de Dineero Electrónico, S.A",Otra institución,"PS DE LA CASTELLANA, 126, 28046, Madrid",,6718
ESV44702165,"FONDO NARANJA MONETARIO, FI",Fondo del mercado monetario,"PASEO CASTELLANA 33, 28046, MADRID",,FI5769
ES8839,"GCC Consumo, EFC, S.A",Otra institución,"Ps de los Melancólicos, 14, 28005, Madrid",,8839
ES1496,"Genefim, Sucursal en España",Entidad de crédito,"Pz Pablo Ruiz Picasso, 1, 28020, Madrid",FR17660,1496
ES6702,"Global Payment Moneytopay, EDE, SL",Otra institución,"AVDA MANOTERAS, 20, 28050, MADRID",,6702
ES1564,"Goldman Sachs Bank Europe SE, Sucursal en España",Entidad de crédito,"Cl María de Molina, 6, 28006, Madrid",DE05602,1564
ES1497,"Haitong Bank, S.A., Sucursal en España",Entidad de crédito,"Ps de la Castellana, 52, 28046, Madrid",PT47,1497
ES1504,"Honda Bank GmbH, Sucursal en España",Entidad de crédito,"CL MAR DEL NORD, 1, 08130, SANTA PERPETUA DE MOGODA",DE05685,1504
ES0162,"HSBC Continental Europe, Sucursal en España",Entidad de crédito,"PZ PABLO RUIZ PICASSO SN PL.33. TORRE PICASSO, 28020, MADRID",FR30056,162
ES2085,"Ibercaja Banco, S.A.",Entidad de crédito,"Pz D. Basilio Paraíso, 2, 50008, Zaragoza",,2085
ES4832,"IBERCAJA SERVICIOS DE FINANCIACIÓN, ESTABLECIMIENTO FINANCIERO DE CRÉDITO, S.A.",Otra institución,"Ps de la Constitución, 4, 50001, Zaragoza",,4832
ES1514,"IC FINANCIAL SERVICES, SUCURSAL EN ESPAÑA",Entidad de crédito,"AVENIDA DE ARAGÓN, 402, 28022, MADRID",FR15448,1514
ES1538,"Industrial and Commercial Bank of China (Europe) S.A., Sucursal en España",Entidad de crédito,"Ps de Recoletos, 12, 28001, Madrid",LUB00348,1538
ES1465,"Ing Bank, N.V. Sucursal en España",Entidad de crédito,"VÍA DE LOS POBLADOS, 1F Y 1E, 28033, Madrid",NL163,1465
ES1000,Instituto de Crédito Oficial,Entidad de crédito,"Ps del Prado, 4, 28014, Madrid",,1000
ES1494,"Intesa Sanpaolo S.p.A., Sucursal en España",Entidad de crédito,"Pº de Castellana, 31, 28046, Madrid",IT0000101262255,1494
ES1567,"J.P. MORGAN SE, SUCURSAL EN ESPAÑA",Entidad de crédito,"PS DE LA CASTELLANA, 31, 28046, MADRID",DE03991,1567
ES1482,"John Deere Bank, S.A., Sucursal en España",Entidad de crédito,"BL JOHN DEERE, 2, 28984, PARLA",LUB00317,1482
ES0151,"JPMorgan Chase Bank National Association, Sucursal en España",Entidad de crédito,"Ps Castellana, 31, 28045, Madrid",US0ECBM00033,151
ESV56602477,"KUTXABANK MONETARIO AHORRO, FI",Fondo del mercado monetario,"PLAZA DE EUSKADI, NUMERO 5, PLANTA 27, 48009, BILBAO",,FI5824
ES2095,"Kutxabank, S.A.",Entidad de crédito,"CL GRAN VÍA, 30-32, 48009, BILBAO",,2095
ES1547,"Lombard Odier (Europe), S.A., Sucursal en España",Entidad de crédito,"PS DE LA CASTELLANA, 66, 28046, MADRID",LUB00370,1547
ES8342,Luzaro E.F.C. S.A,Otra institución,"AV LIBERTAD, 10, 20004, DONOSTIA/SAN SEBASTIAN",,8342
ES6725,MANGOPAY SA SUCURSAL EN ESPAÑA,Otra institución,"CL FRANCISCO SILVELA, 72, 28028, MADRID",LUW00005,6725
ES1520,"Mediobanca, Sucursal en España",Entidad de crédito,"Cl Jorge Manrique, 12, 28006, Madrid",IT0000101249233,1520
ES4799,"Mercedes-Benz Financial Services España E.F.C., S.A.",Otra institución,"AV DE BRUSELAS, 30, 28108, ALCOBENDAS",,4799
ES1552,"Mirabaud & Cie (Europe) S.A., Sucursal en España",Entidad de crédito,"CI Fortuny, 6, 28010, Madrid",LUB00381,1552
ESA06302657,"MIRALTA FINANCE BANK, S.A.",Entidad de crédito,"PLAZA MANUEL GOMEZ MORENO, 2, 28020, MADRID",,244
ES1559,"Mizuho Bank Europe N.V., Sucursal en España",Entidad de crédito,"Cl Orense, 34, 28020, Madrid",NL530,1559
ES6723,"MODULR FINANCE B.V., SUCURSAL EN ESPAÑA",Otra institución,"CL GRAN VIA DE LES CORTS CATALANES 583, 08011, BARCELONA",,6723
ES6720,"Moneycorp Technologies Limited, S.E",Otra institución,"CL NÚÑEZ DE BALBOA 35, 28001, Madrid",IECBI00184118,6720
ES0160,"MUFG Bank (Europe) N.V., Sucursal en España",Entidad de crédito,"Cl José Ortega y Gasset, 29, 28006, Madrid",NL512,160
ESV85567659,"Mutuafondo Dinero, FI",Fondo del mercado monetario,"PASEO CASTELLANA 33, 28046, Madrid",,FI4082
ES1544,"MYINVESTOR BANCO, S.A.",Entidad de crédito,"CL COLUMELA, 8, 28001, MADRID",,1544
ES1563,"N26 BANK AG, SUCURSAL EN ESPAÑA",Entidad de crédito,"CL JOSÉ ABASCAL, 41, 28003, MADRID",DE05889,1563
ES1479,"Natixis, S.A., Sucursal en España",Entidad de crédito,"Cl Serrano, 90, 28004, Madrid",FR30007,1479
ES0133,"Nuevo Micro Bank, S.A.",Entidad de crédito,"CI ADUANA, 18, 28013, MADRID",,133
ES8235,"OCCIDENT HIPOTECARIA, EFC S.A",Otra institución,"AV SABINO ARANDA, 20, 48013, BILBAO",,8235
ES1577,"Oddo BHF SCA, Sucursal en España",Entidad de crédito,"CL MAJORAL, 17, 28050, MADRID",FR45850,1577
ES8814,"Oney Servicios Financieros, E.F.C., S.A.",Otra institución,"Via de los Poblados, 1, 28033, Madrid",,8814
ES0073,"Open Bank, S.A.",Entidad de crédito,"PLAZA DE SANTA BARBARA, 2, 28004, Madrid",,73
ES1568,"Orange Bank, S.A., Sucursal en España",Entidad de crédito,"Ps Club Deportivo, 1, 28223, Madrid",FR18370,1568
ESA85424893,OUTPAYCE SA,Otra institución,"SALVADOR DE MADARIAGA, 1, 28027, MADRID",,6727
ES6722,"PAGONXT EMONEY EDE, S.L.",Otra institución,"AVDA CANTABRIA S/N, 28660, BOADILLA DEL MONTE",,6722
ESW0284391J,PAYMENTSENSE IRELAND LIMITED SUCURSAL EN ESPAÑA,Otra institución,"PS DE LA CASTELLANA, 259, 28046, MADRID",,6728
ES6707,Pecunia Cards E.D.E. S.L,Otra institución,"AVDA DE BRUSELAS, 35, 28108, ALCOBENDAS",,6707
ES1508,"RCI Banque, S.A., Sucursal en España",Entidad de crédito,"AV. DE EUROPA, 1, 28108, ALCOBENDAS",FR11188,1508
ES0083,"Renta 4 Banco, S.A.",Entidad de crédito,"Ps de la Habana, 74, 28036, Madrid",,83
ES1583,REVOLUT BANK UAB SUCURSAL EN ESPAÑA,Entidad de crédito,"CL PRÍNCIPE DE VERGARA, 132, 28002, MADRID",LT304580906,1583
ES1584,RIVERBANK SA SUCURSAL EN ESPAÑA,Entidad de crédito,"CL BOTIGUERS, 3, 46988, PATERNA",,1584
ES3138,"Ruralnostra, Sociedad Cooperativa de Crédito Valenciana",Entidad de crédito,"PZ MAYOR, 2, 12549, BETXI",,3138
ES0242,"Sabadell Consumer Finance, S.A.",Entidad de crédito,"CL SENA, 12, 08190, SANT CUGAT DEL VALLES",,242
ES0224,"Santander Consumer Finance, S.A.",Entidad de crédito,"Av de Cantabria, sn, 28660, Boadilla del Monte",,224
ES8906,"Santander Factoring y Confirming, S.A., E.F.C.",Otra institución,"AV CANTABRIA, SN, 28660, BOADILLA DEL MONTE",,8906
ES0036,"Santander Investment, S.A.",Entidad de crédito,"AV DE CANTABRIA, SN, 28660, BOADILLA DEL MONTE",,36
ES4797,"Santander Lease, S.A. EFC",Otra institución,"AV DE CANTABRIA, SN, 28660, BOADILLA DEL MONTE",,4797
ESA09641549,"SANTANDER MAPFRE HIPOTECA INVERSA, E.F.C., SA",Otra institución,"CL JUAN IGNACIO LUCA DE TENA, 11, 28027, MADRID",,8845
ES8813,"Scania Finance Hispania, E.F.C., S.A.",Otra institución,"CL JACINTO BENAVENTE, 13, 28850, Torrejon de Ardoz",,8813
ES6705,"Sefide, E.D.E. S.L.",Otra institución,"AVENIDA DE LA CIENCIA, 2, 18006, Granada",,6705
ES8795,"Servicios Financieros Carrefour, E.F.C., S.A.",Otra institución,"CARRETERA  NACIONAL I, KM. 14,500, 28108, Alcobendas",,8795
ES8833,"SG Equipment Finance Iberia, E.F.C., S.A.",Otra institución,"CL SERRANO GALVACHE, 56, 28033, Madrid",,8833
ESB16992182,SILBO MONEY EDE SL,Otra institución,"HOCES DE HERMIDA, 140, 28023, MADRID",,6729
ES1490,"Singular Bank, S.A.",Entidad de crédito,"CALLE GOYA, 11, 28001, Madrid",,1490
ES1551,"SMBC Bank EU AG, Sucursal en España",Entidad de crédito,"Cl Pedro Teixeira, 8, 28001, Madrid",DE05904,1551
ES8816,"Sociedad Conjunta para la Emisión y Gestión de Medios de Pago, E.F.C., S.A",Otra institución,"Cl O'Donell, 12, 28009, Madrid",,8816
ES0108,"Société Genérale, Sucursal en España",Entidad de crédito,"Pz Pablo Ruiz Picasso, 1, 28020, Madrid",FR30003,108
ES1578,"SOLARIS SE, SUCURSAL EN ESPAÑA",Entidad de crédito,"PS DE RECOLETOS, 5, 28004, MADRID",DE05888,1578
ES8838,"STELLANTIS FINANCIAL SERVICES ESPAÑA, E.F.C.,",Otra institución,"CL EDUARDO BARREIROS, 110, 28037, MADRID",,8838
ES6724,SWAN IO SUCURSAL EN ESPAÑA,Otra institución,"CL PAU CLARIS, 92, 08010, BARCELONA",,6724
